Local time,Open,High,Low,Close,Volume
27.05.2021 01:00:00.000 GMT+0100,35.457,35.517,33.926,34.116,12792.5967
28.05.2021 01:00:00.000 GMT+0100,33.817,34.736,33.656,34.657,9135.4346
29.05.2021 01:00:00.000 GMT+0100,34.657,34.657,34.657,34.657,0
30.05.2021 01:00:00.000 GMT+0100,34.657,34.657,34.657,34.657,0
31.05.2021 01:00:00.000 GMT+0100,34.657,34.657,34.657,34.657,0
01.06.2021 01:00:00.000 GMT+0100,33.846,35.547,33.666,35.487,23086.9648
02.06.2021 01:00:00.000 GMT+0100,35.097,35.446,34.096,34.607,16747.6738
03.06.2021 01:00:00.000 GMT+0100,35.636,36.177,34.716,35.247,27779.4355
04.06.2021 01:00:00.000 GMT+0100,34.106,34.127,33.246,33.386,7138.3271
05.06.2021 01:00:00.000 GMT+0100,33.386,33.386,33.386,33.386,0
06.06.2021 01:00:00.000 GMT+0100,33.386,33.386,33.386,33.386,0
07.06.2021 01:00:00.000 GMT+0100,33.356,33.687,32.716,32.756,9780.3379
08.06.2021 01:00:00.000 GMT+0100,32.597,33.867,32.516,33.147,12831.4102
09.06.2021 01:00:00.000 GMT+0100,32.787,33.896,32.756,33.687,12167.4316
10.06.2021 01:00:00.000 GMT+0100,32.777,32.967,31.636,31.707,13000.4609
11.06.2021 01:00:00.000 GMT+0100,31.056,31.157,30.576,30.786,9137.4023
12.06.2021 01:00:00.000 GMT+0100,30.786,30.786,30.786,30.786,0
13.06.2021 01:00:00.000 GMT+0100,30.786,30.786,30.786,30.786,0
14.06.2021 01:00:00.000 GMT+0100,30.716,31.677,30.637,31.086,10822.4248
15.06.2021 01:00:00.000 GMT+0100,31.206,32.017,31.096,31.757,13481.417
16.06.2021 01:00:00.000 GMT+0100,31.347,32.917,30.796,32.037,31423.75
17.06.2021 01:00:00.000 GMT+0100,32.126,32.577,30.766,31.857,36632.9844
18.06.2021 01:00:00.000 GMT+0100,33.357,34.867,32.496,34.686,59020.3672
19.06.2021 01:00:00.000 GMT+0100,34.686,34.686,34.686,34.686,0
20.06.2021 01:00:00.000 GMT+0100,34.686,34.686,34.686,34.686,0
21.06.2021 01:00:00.000 GMT+0100,33.406,34.466,32.026,32.507,26426.7988
22.06.2021 01:00:00.000 GMT+0100,32.737,32.877,30.856,30.856,13997.5322
23.06.2021 01:00:00.000 GMT+0100,30.467,30.607,29.966,30.246,11382.4258
