Local time,Open,High,Low,Close,Volume
16.05.2021 01:00:00.000 GMT+0100,34392.279,34445.269,34375.219,34392.299,1.0611
17.05.2021 01:00:00.000 GMT+0100,34392.729,34412.759,34167.229,34409.779,30.9307
18.05.2021 01:00:00.000 GMT+0100,34411.789,34491.249,33944.299,33945.289,26.6914
19.05.2021 01:00:00.000 GMT+0100,33949.299,34054.749,33468.199,33791.279,41.6394
20.05.2021 01:00:00.000 GMT+0100,33791.749,34235.499,33639.049,34139.269,31.4518
21.05.2021 01:00:00.000 GMT+0100,34139.249,34417.779,34074.029,34245.289,29.2294
22.05.2021 01:00:00.000 GMT+0100,34245.289,34245.289,34245.289,34245.289,0
23.05.2021 01:00:00.000 GMT+0100,34189.767,34270.259,34146.739,34227.279,1.3276
24.05.2021 01:00:00.000 GMT+0100,34226.719,34472.209,34224.229,34445.289,23.3095
25.05.2021 01:00:00.000 GMT+0100,34444.279,34526.789,34268.719,34367.999,26.1319
26.05.2021 01:00:00.000 GMT+0100,34367.209,34462.559,34273.259,34315.279,22.6598
27.05.2021 01:00:00.000 GMT+0100,34312.289,34631.999,34207.759,34622.759,26.2539
28.05.2021 01:00:00.000 GMT+0100,34622.789,34659.049,34516.199,34560.719,20.9936
29.05.2021 01:00:00.000 GMT+0100,34560.719,34560.719,34560.719,34560.719,0
30.05.2021 01:00:00.000 GMT+0100,34569.789,34587.799,34549.709,34568.779,0.6072
31.05.2021 01:00:00.000 GMT+0100,34569.219,34595.299,34431.699,34526.229,9.5216
01.06.2021 01:00:00.000 GMT+0100,34525.779,34848.799,34496.219,34549.249,25.3371
02.06.2021 01:00:00.000 GMT+0100,34550.279,34705.799,34520.519,34612.229,24.0311
03.06.2021 01:00:00.000 GMT+0100,34614.259,34667.289,34326.699,34552.219,27.4839
04.06.2021 01:00:00.000 GMT+0100,34554.269,34770.999,34482.239,34746.249,21.6723
05.06.2021 01:00:00.000 GMT+0100,34746.249,34746.249,34746.249,34746.249,0
06.06.2021 01:00:00.000 GMT+0100,34767.279,34793.999,34758.199,34784.219,0.6804
07.06.2021 01:00:00.000 GMT+0100,34783.799,34840.569,34574.199,34610.739,22.5195
08.06.2021 01:00:00.000 GMT+0100,34610.219,34664.999,34446.709,34598.279,24.6162
09.06.2021 01:00:00.000 GMT+0100,34597.229,34654.499,34434.769,34472.709,21.7578
10.06.2021 01:00:00.000 GMT+0100,34472.249,34742.299,34398.009,34457.999,25.3796
11.06.2021 01:00:00.000 GMT+0100,34461.279,34622.709,34321.719,34454.499,16.8746
12.06.2021 01:00:00.000 GMT+0100,34454.499,34454.499,34454.499,34454.499,0
